[00:00:55] |Oasis|3|Team 1|Team 2|2
[00:00:55] |Reginald|Zshrimpman|Chu|Nacho|Er6ick|ehflep|Guillotine|Flexecution|melo|trasherlyn
[00:01:00] |60.10|Flexecution|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Reginald|(-186.81, 15.00, -39.15)|Team 2|0|0|250|(0.25, -0.16, 0.96)|0|250
[00:01:00] |60.10|Zshrimpman|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Guillotine|(-178.25, 15.61, 23.12)|Team 1|0|0|450|(-0.29, -0.07, -0.95)|0|450
[00:01:00] |60.10|melo|Cassidy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Guillotine|(-195.03, 20.00, -81.20)|Team 2|0|0|225|(-0.01, -0.00, 1.00)|0|225
[00:01:00] |60.10|Er6ick|Genji|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Reginald|(-172.95, 18.38, 49.89)|Team 1|0|0|200|(0.08, -0.31, -0.95)|2.38|200
[00:01:00] |60.10|Chu|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Reginald|(-173.25, 16.43, 59.19)|Team 1|0|0|250|(0.04, -0.10, -0.99)|0.33|250
[00:01:00] |60.10|Nacho|Kiriko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Flexecution|(-176.43, 16.52, 21.53)|Team 1|0|0|200|(-0.20, -0.06, -0.98)|0.52|200
[00:01:00] |60.10|Guillotine|Baptiste|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|melo|(-190.38, 16.58, -44.83)|Team 2|0|0|200|(0.53, -0.22, -0.82)|0|200
[00:01:00] |60.10|ehflep|Reinhardt|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Reginald|(-184.67, 15.92, -37.44)|Team 2|0|0|625|(0.38, -0.02, 0.92)|0.92|625
[00:01:00] |60.10|trasherlyn|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Zshrimpman|(-182.29, 18.42, -34.23)|Team 2|0|11.33|200|(-0.54, -0.26, 0.80)|3.42|200
[00:01:01] |61.09|0|0
[00:01:01] |61.10|Reginald|Lúcio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Chu|(-171.86, 15.00, 42.54)|Team 1|0|0|200|(-0.23, -0.09, 0.97)|0|200
[00:01:01] |61.10|Flexecution|Mei|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|Nacho|(-183.52, 16.80, -33.12)|Team 2|0|0|250|(0.54, -0.15, 0.83)|2.40|250
[00:01:01] |61.10|Zshrimpman|Junker Queen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|melo|(-181.24, 16.00, 15.22)|Team 1|0|0|450|(-0.46, -0.08, -0.88)|0|450
